,Year,Author,Title,Result
26,2004,Margaret Atwood,Oryx and Crake,Finalist
27,2004,Shirley Hazzard,The Great Fire,Finalist
28,2004,Gillian Slovo,Ice Road,Finalist
29,2004,Rose Tremain,The Colour,Finalist
30,2005,Lionel Shriver,We Need to Talk About Kevin,Winner
31,2005,Joolz Denby,Billie Morgan,Finalist
32,2005,Jane Gardam,Old Filth,Finalist
33,2005,Sheri Holman,The Mammoth Cheese,Finalist
34,2005,Marina Lewycka,A Short History of Tractors in Ukrainian,Finalist
35,2005,Maile Meloy,Liars and Saints,Finalist
36,2006,Zadie Smith,On Beauty,Winner
37,2006,Nicole Krauss,The History of Love,Finalist
38,2006,Hilary Mantel,Beyond Black,Finalist
39,2006,Ali Smith,The Accidental,Finalist
40,2006,Carrie Tiffany,Everyman's Rules for Scientific Living,Finalist
41,2006,Sarah Waters,The Night Watch,Finalist
42,2007,Chimamanda Ngozi Adichie,Half of a Yellow Sun,Winner
43,2007,Rachel Cusk,Arlington Park,Finalist
44,2007,Kiran Desai,The Inheritance of Loss,Finalist
45,2007,Xiaolu Guo,A Concise Chinese-English Dictionary for Lovers,Finalist
46,2007,Jane Harris,The Observations,Finalist
47,2007,Anne Tyler,Digging to America,Finalist
48,2008,Rose Tremain,The Road Home,Winner
49,2008,Nancy Huston,Fault Lines,Finalist
50,2008,Sadie Jones,The Outcast,Finalist
51,2008,Charlotte Mendelson,When We Were Bad,Finalist
52,2008,Heather O'Neill,Lullabies for Little Criminals,Finalist
53,2008,Patricia Wood,Lottery,Finalist
54,2009,Marilynne Robinson,Home,Winner
55,2009,Ellen Feldman,Scottsboro,Finalist
56,2009,Samantha Harvey,The Wilderness,Finalist
57,2009,Samantha Hunt,The Invention of Everything Else,Finalist
58,2009,Deirdre Madden,Molly Fox's Birthday,Finalist
59,2009,Kamila Shamsie,Burnt Shadows,Finalist
0,1996,Helen Dunmore,A Spell of Winter,Winner
1,1996,Julia Blackburn,The Book of Colour,Shortlist
2,1996,Pagan Kennedy,Spinsters,Shortlist
3,1996,Amy Tan,The Hundred Secret Senses,Shortlist
4,1996,Anne Tyler,Ladder of Years,Shortlist
5,1996,Marianne Wiggins,Eveless Eden,Shortlist
6,1997,Anne Michaels[a],Fugitive Pieces,Winner
7,1997,Margaret Atwood,Alias Grace,Shortlist
8,1997,Deirdre Madden,One by One in the Darkness,Shortlist
9,1997,Jane Mendelsohn,I Was Amelia Earhart,Shortlist
10,1997,Annie Proulx,Accordion Crimes,Shortlist
11,1997,Manda Scott,Hen's Teeth,Shortlist
12,1998,Carol Shields,Larry's Party,Winner
13,1998,Kirsten Bakis,Lives of the Monster Dogs,Shortlist
14,1998,Pauline Melville,The Ventriloquist's Tale,Shortlist
15,1998,Ann Patchett,The Magician's Assistant,Shortlist
16,1998,Deirdre Purcell,Love Like Hate Adore,Shortlist
17,1998,Anita Shreve,The Weight of Water,Shortlist
18,1999,Suzanne Berne,A Crime in the Neighborhood,Winner
19,1999,Julia Blackburn,The Leper's Companions,Shortlist
20,1999,Marilyn Bowering,Visible Worlds,Shortlist
21,1999,Jane Hamilton,The Short History of a Prince,Shortlist
22,1999,Barbara Kingsolver,The Poisonwood Bible,Shortlist
23,1999,Toni Morrison,Paradise,Shortlist
